PED-1801,CLI-001,2026-07-01,PENDIENTE,NORTE,true
PED-1802,CLI-002,2026-07-02,CONFIRMADO,SUR,false
PED-1803,CLI-003,2026-07-03,ENTREGADO,CENTRO,false
PED-1804,CLI-004,2026-07-04,CANCELADO,NORTE,false
PED-1805,CLI-005,2026-07-05,PENDIENTE,SUR,true
PED-1806,CLI-001,2026-07-06,CONFIRMADO,CENTRO,false
PED-1807,CLI-002,2026-07-07,ENTREGADO,NORTE,false
PED-1808,CLI-003,2026-07-08,PENDIENTE,SUR,false
PED-1809,CLI-004,2026-07-09,CONFIRMADO,CENTRO,false
PED-1810,CLI-005,2026-07-10,ENTREGADO,NORTE,false
PED-1811,CLI-001,2026-07-11,PENDIENTE,SUR,true
PED-1812,CLI-002,2026-07-12,CONFIRMADO,CENTRO,false
PED-1813,CLI-003,2026-07-13,ENTREGADO,NORTE,false
PED-1814,CLI-004,2026-07-14,CANCELADO,SUR,false
PED-1815,CLI-005,2026-07-15,PENDIENTE,CENTRO,true
PED-1816,CLI-001,2026-07-16,CONFIRMADO,NORTE,false
PED-1817,CLI-002,2026-07-17,ENTREGADO,SUR,false
PED-1818,CLI-003,2026-07-18,PENDIENTE,CENTRO,false
PED-1819,CLI-004,2026-07-19,CONFIRMADO,NORTE,false
PED-1820,CLI-005,2026-07-20,ENTREGADO,SUR,false
PED-1821,CLI-001,2026-07-21,PENDIENTE,CENTRO,true
PED-1822,CLI-002,2026-07-22,CONFIRMADO,NORTE,false
PED-1823,CLI-003,2026-07-23,ENTREGADO,SUR,false
PED-1824,CLI-004,2026-07-24,CANCELADO,CENTRO,false
PED-1825,CLI-005,2026-07-25,PENDIENTE,NORTE,true
PED-1826,CLI-001,2026-07-26,CONFIRMADO,SUR,false
PED-1827,CLI-002,2026-07-27,ENTREGADO,CENTRO,false
PED-1828,CLI-003,2026-07-28,PENDIENTE,NORTE,false
PED-1829,CLI-004,2026-07-29,CONFIRMADO,SUR,false
PED-1830,CLI-005,2026-07-30,ENTREGADO,CENTRO,false
PED-1831,CLI-001,2026-08-01,PENDIENTE,NORTE,true
PED-1832,CLI-002,2026-08-02,CONFIRMADO,SUR,false
PED-1833,CLI-003,2026-08-03,ENTREGADO,CENTRO,false
PED-1834,CLI-004,2026-08-04,CANCELADO,NORTE,false
PED-1835,CLI-005,2026-08-05,PENDIENTE,SUR,true
PED-1836,CLI-001,2026-08-06,CONFIRMADO,CENTRO,false
PED-1837,CLI-002,2026-08-07,ENTREGADO,NORTE,false
PED-1838,CLI-003,2026-08-08,PENDIENTE,SUR,false
PED-1839,CLI-004,2026-08-09,CONFIRMADO,CENTRO,false
PED-1840,CLI-005,2026-08-10,ENTREGADO,NORTE,false
PED-1841,CLI-001,2026-08-11,PENDIENTE,SUR,true
PED-1842,CLI-002,2026-08-12,CONFIRMADO,CENTRO,false
PED-1843,CLI-003,2026-08-13,ENTREGADO,NORTE,false
PED-1844,CLI-004,2026-08-14,CANCELADO,SUR,false
PED-1845,CLI-005,2026-08-15,PENDIENTE,CENTRO,true
PED-1846,CLI-001,2026-08-16,CONFIRMADO,NORTE,false
PED-1847,CLI-002,2026-08-17,ENTREGADO,SUR,false
PED-1848,CLI-003,2026-08-18,PENDIENTE,CENTRO,false
PED-1849,CLI-004,2026-08-19,CONFIRMADO,NORTE,false
